osmid,y,x
81805393,21.0088234,105.82426
81806535,21.01906,105.8305102
98026475,21.0064882,105.8316381
98027697,21.0005756,105.8289804
98031401,21.0212268,105.8258037
98035472,21.0198315,105.8083104
98041254,21.0156576,105.8049378
98041257,21.0151327,105.8043705
98041849,21.0149334,105.8045817
98041851,21.0154716,105.8051475
98042270,21.0226339,105.8099209
106070559,21.0030892,105.7794461
106078638,21.0135159,105.8026473
106108917,21.0165348,105.8232227
106111364,21.0124282,105.8206704
283139229,21.0103209,105.8105007
283139237,21.0085866,105.8133317
308728680,21.0234381,105.8197471
309595522,21.0294135,105.827209
309685730,21.0251257,105.8111708
309816682,21.0227257,105.8097448
309816683,21.0199171,105.8081414
310729950,21.0247566,105.8115388
317366886,21.005355,105.8045555
317778303,21.0104976,105.7993146
319490613,21.0170993,105.8309465
420456583,21.0240783,105.7983321
420456595,21.021622,105.8008861
420456615,21.0155553,105.8048245
420456683,21.005215,105.8169541
420457653,21.0294,105.802296
420460217,21.0032768,105.8192561
420522002,21.0158799,105.8046743
421080868,21.018268,105.8298683
427847910,21.0103487,105.7994609
428673752,21.0179964,105.8296877
436383687,21.003887,105.793142
436388447,21.0258244,105.811628
438036727,21.0288676,105.8058957
442990465,21.0134657,105.8021998
442993523,21.0268446,105.7980311
444393381,21.0037853,105.8069888
444394912,20.9919737,105.8026302
444398125,21.0042358,105.8062408
444501629,21.0052178,105.8047007
444501637,21.0086567,105.8094373
444874857,21.0109719,105.8109915
444874859,21.0163706,105.81468
444875109,21.01074,105.8110704
444875130,21.0165795,105.8150487
444875374,21.0108542,105.8109049
444875375,21.0102154,105.8106768
445970096,21.022117,105.826251
445970127,21.0241688,105.8269312
445970799,21.016959,105.8290405
446030797,21.0137777,105.8188893
448838032,21.0108582,105.8111578
634709500,21.016916,105.8142693
733429120,21.0153596,105.8050339
1104490487,21.0172221,105.8310576
1219243636,21.0231713,105.7901765
1219243660,21.0249285,105.7925393
1220930858,21.0233037,105.7900982
1220930867,21.0250675,105.7924255
1221053112,21.0232306,105.7899896
1221161727,20.9914743,105.8035766
1221161730,20.991168,105.8031548
1312645244,21.0287214,105.7794355
1312650077,21.0176183,105.7819834
1312650079,21.0176878,105.7824225
1314185585,21.0018572,105.7851748
1314185648,21.0061739,105.7939807
1314185653,21.0062245,105.7916688
1314185677,21.0056894,105.7923197
1314191398,21.0029385,105.7815289
1314191405,21.0027275,105.7825534
1314191414,21.0040969,105.7929092
1314191415,21.0041444,105.7917347
1314191417,21.0045321,105.7906689
1314191420,21.0053942,105.7917204
1314191436,21.0043096,105.7932651
1314203096,21.0237364,105.8202039
1314203102,21.0234017,105.8198723
1314209691,21.0091472,105.8248463
1314209698,21.0063287,105.8311553
1314209699,21.0092517,105.8242748
1314209716,21.0048876,105.8221002
1314209717,21.0089148,105.824108
1475295085,21.0251049,105.7788409
1475295086,21.0251352,105.7784963
1494035973,21.005964,105.822243
1494041345,21.0030372,105.8209319
1494041351,21.003419,105.8193971
1494041352,21.0033732,105.8207826
1494041366,21.0044283,105.818031
1494041374,21.0048548,105.8223217
1495020912,21.0092908,105.8244986
1495022225,21.0168468,105.8144784
1495023340,21.0070673,105.8295224
1495025257,21.0152713,105.8141546
1495030950,21.0101338,105.7991778
1495030951,21.0101336,105.7996898
1497544719,21.0182565,105.8294809
1497544736,21.0187503,105.8301359
1497544738,21.0189958,105.8300399
1497544749,21.0192399,105.8302912
1497544764,21.0208954,105.830986
1497544796,21.0234448,105.8321545
1498038039,21.0294161,105.8013826
1498111685,21.0159892,105.8053094
1613087620,21.016443,105.8149631
1613087622,21.016528,105.81478
1613087628,21.0166633,105.8148671
1691398148,21.0288348,105.7794537
1692627215,21.0281025,105.78746
1699561405,21.0117028,105.7868004
1699561412,21.0048612,105.7828491
1748294231,21.0230922,105.7900713
1748294250,21.0246083,105.7891513
1748294257,21.0246773,105.7892664
1748294274,21.0198151,105.8012577
1758170763,21.016811,105.8151942
1758170772,21.0170014,105.8151083
1758629824,21.0061473,105.8311916
1758631175,21.0093907,105.8243473
1758633098,21.0080473,105.8238278
1758633108,21.0082462,105.8238515
1758633112,21.0102866,105.8249263
1758651218,20.9993065,105.81831
1838584736,21.0174683,105.7820979
1849738362,21.0119009,105.7870779
1878921396,21.0028361,105.81961
1878921403,21.0025778,105.8217973
1878921405,21.0028548,105.8208163
1878932244,21.0043221,105.8179006
1879088105,21.0169096,105.7825764
1879088106,21.0170719,105.781526
1879088107,21.0181879,105.7815546
1879088108,21.0172503,105.7814509
1879091753,21.0190509,105.7812926
1879091755,21.016102,105.7832508
1879091756,21.0188455,105.7810248
1881927756,21.0288921,105.7790882
1881927757,21.0228612,105.7897488
1881927759,21.0226936,105.7903307
1881928007,21.0235688,105.7897833
1881928008,21.0229931,105.7896511
1881928278,21.0227589,105.7904367
1881928279,21.023538,105.7904074
1881928280,21.0234101,105.7904977
1881949102,20.9963297,105.7992051
1881949103,20.9965117,105.7994728
1884747787,20.9916495,105.8038021
1884747789,20.991969,105.8035655
1884765798,21.008971,105.8247865
1884765802,21.0061784,105.8311035
1884765806,21.0091334,105.8244253
1884768305,21.0094475,105.8239568
1884769977,21.0097478,105.8245423
1884769979,21.0095664,105.8239771
1884776799,21.016992,105.8289753
1887748894,21.0017879,105.8182251
1887751321,21.0178282,105.7822976
1897734810,21.0006617,105.7961782
1897734813,21.0004443,105.7958977
1901865134,21.0116311,105.8005648
1901865135,21.0114927,105.8006932
1904353550,21.0178042,105.8294371
1904360482,21.0191646,105.8247558
1919720738,21.0278203,105.7873362
1919750981,21.0277769,105.7877202
1919751043,21.0270002,105.7876909
1919751060,21.0270764,105.7878317
1954877845,21.0272221,105.787753
2050902820,21.0211503,105.8259781
2050902827,21.024139,105.8270572
2050902830,21.0220651,105.8263876
2050902832,21.0231269,105.8266383
2050902833,21.0230936,105.8267657
2050902835,21.0252373,105.8272089
2050902836,21.0251872,105.827367
2053894358,21.0251753,105.8218932
2084132002,21.0157267,105.8053895
2084132003,21.0147568,105.8043613
2174649904,21.0164074,105.8232829
2174649908,21.0191072,105.824898
2175126932,21.0112484,105.8114271
2175126939,21.0113462,105.8112917
2176926218,21.0139023,105.8187277
2185731222,21.0038555,105.7913404
2185731475,21.017262,105.782742
2185731477,21.0180285,105.7828947
2185731479,21.0181638,105.782768
2185731481,21.0182329,105.7819565
2186671583,21.0049195,105.8053091
2186671584,21.0043007,105.8063179
2186671585,21.0039196,105.8069622
2186671586,21.0048249,105.8052403
2188036136,21.0096309,105.8116969
2195296719,21.0283998,105.8059754
2212544448,21.0041952,105.7933415
2274969534,21.0188775,105.8166276
2289976216,21.0214228,105.8183287
2289997642,21.0223888,105.8191798
2289997644,21.0224513,105.8190805
2290010720,21.0285731,105.8260244
2290010722,21.0286925,105.8259242
2291064324,21.0177227,105.8300672
2291064328,21.0177471,105.8295223
2291072469,21.0054347,105.8046634
2291072476,21.0104427,105.7995607
2291073251,21.0052954,105.8048179
2291254028,21.0068397,105.8067003
2291254030,21.0067137,105.8068244
2295384939,21.0257801,105.811758
2302164518,21.028491,105.7809856
2302164519,21.0286052,105.7810001
2302166519,21.0287664,105.7790644
2303337176,21.0275852,105.799663
2326674277,21.0064159,105.7936951
2326674281,21.0062739,105.7911853
2326674288,21.006357,105.7915606
2570960524,20.9772778,105.7840401
2584589542,21.0287119,105.8124555
2701058419,20.9895066,105.8049079
2701184883,20.9921822,105.8029274
3075526390,21.0271432,105.7875571
3075526396,21.0274254,105.7871158
3779242655,20.9862412,105.8070281
3779255475,21.0104512,105.7881286
3779255487,20.9918002,105.8033242
3779255494,20.9912168,105.8025794
4004297090,21.0030929,105.8199683
4025084971,21.0019535,105.7816232
4025115175,21.0088638,105.8143743
4027449781,21.0277085,105.7995348
4106937190,20.9907299,105.8035737
4538404990,20.9906932,105.8036125
4538404991,20.9911098,105.8038252
4538404998,20.990959,105.802806
4538405005,20.9917685,105.803965
4538405006,20.992099,105.8037713
4538405017,20.9892728,105.7999396
4538405021,20.9891512,105.8000917
4538405024,20.9937993,105.8067193
4538405026,20.9910576,105.8023827
4538405061,20.9908322,105.8026157
4538405136,20.9982203,105.7976915
4538405137,20.9984119,105.7979897
4538571805,21.0016237,105.7818934
4538571806,21.0010019,105.782015
4538571818,21.002862,105.7819253
4539132150,21.007529,105.7953426
4539132165,21.0073625,105.7955014
4539674875,21.004616,105.7923293
4539674879,21.0049961,105.7928815
4539674883,21.010177,105.7881375
4539674888,21.007568,105.7905861
4539675798,21.0015187,105.782151
4539675829,20.9932596,105.8016301
4539682086,20.9933336,105.8019847
4539684490,20.9963102,105.7993171
4540453369,20.9851302,105.7751947
4540453370,20.9850154,105.7752877
4540453378,20.9914446,105.7842707
4540453393,20.999436,105.7971551
4540453394,20.9996542,105.7969785
4540453395,20.9991029,105.7974322
4540453396,20.9996758,105.7974424
4540453399,21.0009672,105.7987903
4540453400,21.0008682,105.7988986
4540453404,20.9990517,105.7965818
4540453405,20.9994514,105.79668
4540453406,20.998951,105.7971202
4541071715,21.0192473,105.8022092
4541071716,21.0193091,105.8023428
4541105058,20.9875632,105.7787348
4541105059,20.9874616,105.7788201
4542621501,20.9992356,105.7968674
4599745018,21.0008036,105.829059
4600895552,20.9987271,105.8284704
4830545876,21.003581,105.7892566
4830545884,21.0022385,105.7850543
4930425700,21.0027383,105.7792582
4930425704,21.0020176,105.7813267
4930438606,21.0037129,105.7894834
4961341856,21.0184915,105.8296676
4961341859,21.0208473,105.8258022
4961341860,21.0209128,105.8256348
4961341864,21.0206049,105.8256706
4961341865,21.0206785,105.825509
5093497426,20.9992443,105.7964139
5093497429,20.9997289,105.7964651
5093497430,20.9999087,105.7973645
5093497431,20.9999971,105.7967009
5206119178,21.0049643,105.8164429
5485653490,21.0268084,105.8276909
5485722628,20.9862914,105.8134625
5489009621,21.0263735,105.8277197
5598303159,20.9861054,105.8070013
5641890821,20.9856736,105.794818
5641890822,20.9855094,105.7949395
5641890823,20.9863392,105.7961135
5645750065,21.0011176,105.8172083
5674347102,21.0060273,105.8310576
5683715143,21.0027599,105.821931
5683792676,21.0062201,105.8312827
5686426699,21.0014287,105.826217
5686449780,20.9997185,105.8318828
5701309369,21.0294254,105.8277502
5704011299,21.0235792,105.8322185
5706891499,21.0201732,105.8307261
5706896622,21.0202038,105.8306589
5707122750,21.003095,105.7824773
5707122751,21.0026587,105.7828117
5707122775,21.0010773,105.7822935
5707122779,20.9994699,105.7810878
5707122780,20.9995076,105.7809994
5707122782,21.0048577,105.7827222
5707161151,21.0191753,105.830871
5707161153,21.0189405,105.8301839
5707161154,21.0188568,105.8292097
5707161162,21.0185201,105.8292353
5707161163,21.0188688,105.8298836
5707262958,21.0130626,105.7756495
5707271696,20.9903608,105.7827364
5707271700,20.9906936,105.7827743
5707271703,20.9867327,105.7775639
5707271704,20.9866488,105.7776435
5707271705,20.9873528,105.7786682
5707271706,20.9874577,105.7785821
5707407583,21.0087548,105.8142818
5707407590,21.0086391,105.8144074
5707407591,21.0087249,105.8144908
5707647467,20.9756336,105.7821967
5707647500,20.9757798,105.7820696
5707679597,21.0133393,105.827148
5709923601,21.0058348,105.7936224
5709923602,21.0049552,105.7911933
5709923603,21.006155,105.7912645
5709923606,21.0063062,105.793497
5709996124,21.0096202,105.8131552
5709996125,21.0095154,105.8130802
5710098650,20.9932025,105.7875657
5710136485,21.0105902,105.7994228
5710136487,21.0106651,105.799785
5710136488,21.0101979,105.799793
5710222979,21.002987,105.7943098
5710222986,21.0003023,105.7963674
5710222987,21.0027568,105.7940627
5710231827,21.0018862,105.8182888
5710538391,20.9791913,105.8125827
5710538395,20.9789299,105.8122624
5710565212,21.0153286,105.8140229
5710673956,21.0136229,105.8030631
5710673974,21.0152728,105.8042272
5710673979,21.0149442,105.8041872
5710673992,21.0137511,105.802921
5710691038,20.9787401,105.812412
5710691043,20.9777385,105.8131624
5710691044,20.9777024,105.8117538
5710691045,20.9798449,105.8115972
5710691056,20.9780221,105.8116834
5716241016,21.014461,105.7959433
5716241017,21.0144734,105.7954625
5716408768,21.0060987,105.8227121
5716408772,21.0059295,105.8222852
