timestamp,edge_id,speed_kmh,duration_s,distance_m
2025-11-27 15:04:23.339200,444875130_1613087628,18.0,4,20
2025-11-27 15:04:23.535787,444875130_1758170763,27.9,4,31
2025-11-27 15:04:23.726637,444875374_444875109,13.04,45,163
2025-11-27 15:04:23.865411,444875374_283139229,20.22,13,73
2025-11-27 15:04:23.989251,444875375_283139229,9.0,8,20
2025-11-27 15:04:24.176215,444875375_444875109,12.17,21,71
2025-11-27 15:04:24.335883,444875375_2188036136,20.3,119,671
2025-11-27 15:04:24.547383,445970096_2050902830,13.5,4,15
2025-11-27 15:04:24.740521,445970096_8823455180,9.9,32,88
2025-11-27 15:04:24.956601,445970127_2050902827,15.6,3,13
2025-11-27 15:04:25.154978,445970127_2050902832,25.2,17,119
2025-11-27 15:04:25.367091,445970799_1884776799,14.1,158,619
2025-11-27 15:04:25.551641,445970799_2291064328,15.81,23,101
2025-11-27 15:04:25.682369,446030797_2176926218,13.37,7,26
2025-11-27 15:04:25.835975,446030797_2174649904,20.04,104,579
2025-11-27 15:04:26.033255,446030797_106111364,15.58,55,238
2025-11-27 15:04:26.231693,448838032_444874857,9.77,7,19
2025-11-27 15:04:26.444898,448838032_2175126932,25.71,7,50
2025-11-27 15:04:26.670292,634709500_1613087622,17.52,306,1489
2025-11-27 15:04:26.865659,634709500_6650876740,22.02,17,104
2025-11-27 15:04:26.998329,733429120_98041851,12.24,5,17
2025-11-27 15:04:27.178399,733429120_6651770209,34.64,45,433
2025-11-27 15:04:27.387806,1104490487_319490613,9.26,7,18
2025-11-27 15:04:27.629390,1104490487_12357580642,22.67,171,1077
2025-11-27 15:04:27.832175,1219243636_1220930858,16.2,4,18
2025-11-27 15:04:28.015533,1219243636_1881928280,21.6,7,42
2025-11-27 15:04:28.204932,1219243660_12872373346,10.54,14,41
2025-11-27 15:04:28.387964,1220930858_1221053112,5.04,10,14
2025-11-27 15:04:28.601099,1220930858_10203920325,23.14,7,45
2025-11-27 15:04:28.787285,1220930867_12872373345,15.05,11,46
2025-11-27 15:04:28.965296,1221053112_1748294231,10.8,6,18
2025-11-27 15:04:29.146563,1221053112_1881928008,30.96,5,43
2025-11-27 15:04:29.343812,1221161727_1884747787,15.43,7,30
2025-11-27 15:04:29.634091,1221161727_3779255487,20.98,265,1544
2025-11-27 15:04:29.824970,1221161730_4106937190,21.6,11,66
2025-11-27 15:04:29.969603,1221161730_1221161727,4.16,45,52
2025-11-27 15:04:30.179984,1312645244_1691398148,15.6,3,13
2025-11-27 15:04:30.382644,1312645244_12375164798,19.8,2,11
2025-11-27 15:04:30.577951,1312650077_1838584736,17.1,4,19
2025-11-27 15:04:30.785147,1312650077_1879088108,18.83,177,926
2025-11-27 15:04:30.976695,1312650079_1887751321,18.0,4,20
2025-11-27 15:04:31.149039,1312650079_2185731477,26.55,8,59
2025-11-27 15:04:31.333706,1314185585_4539132165,42.39,107,1260
2025-11-27 15:04:31.515921,1314185648_4539132165,28.13,27,211
2025-11-27 15:04:31.728676,1314185653_2326674288,43.2,1,12
2025-11-27 15:04:31.980828,1314185677_1314191420,22.34,185,1148
2025-11-27 15:04:32.168675,1314185677_6621357112,27.36,153,1163
2025-11-27 15:04:32.360484,1314191398_106070559,27.84,522,4037
2025-11-27 15:04:32.578435,1314191405_5707122750,27.55,504,3857
2025-11-27 15:04:32.758001,1314191405_4538571818,40.2,6,67
2025-11-27 15:04:32.967505,1314191414_436383687,24.48,5,34
2025-11-27 15:04:33.162724,1314191415_1314191414,6.18,95,163
2025-11-27 15:04:33.345155,1314191415_4539674875,3.51,83,81
2025-11-27 15:04:33.605731,1314191417_4930438606,34.65,16,154
2025-11-27 15:04:33.753457,1314191420_4539674875,8.56,45,107
2025-11-27 15:04:33.929555,1314191420_5709923602,10.96,137,417
2025-11-27 15:04:34.100722,1314191436_6621426601,6.25,19,33
2025-11-27 15:04:34.394359,1314191436_5709923601,22.63,28,176
2025-11-27 15:04:34.655485,1314203096_2053894358,21.88,39,237
2025-11-27 15:04:34.792670,1314203102_308728680,16.52,134,615
2025-11-27 15:04:35.005166,1314203102_1314203096,15.6,12,52
2025-11-27 15:04:35.279414,1314209691_1495020912,14.53,143,577
2025-11-27 15:04:35.484970,1314209691_6405794494,8.2,36,82
2025-11-27 15:04:35.672986,1314209698_1884765802,16.2,4,18
2025-11-27 15:04:35.867344,1314209698_11014094288,28.8,5,40
2025-11-27 15:04:36.091799,1314209699_11950483417,18.6,6,31
2025-11-27 15:04:36.274770,1314209699_1884765806,11.33,280,881
2025-11-27 15:04:36.484559,1314209716_6677895172,26.01,31,224
2025-11-27 15:04:36.693116,1314209716_1887748894,24.11,217,1453
2025-11-27 15:04:36.898568,1314209717_6659134174,22.24,17,105
2025-11-27 15:04:37.073744,1475295085_1475295086,17.28,10,48
2025-11-27 15:04:37.203278,1475295085_1312645244,18.89,77,404
2025-11-27 15:04:37.327516,1475295086_1475295085,26.33,316,2311
2025-11-27 15:04:37.519284,1475295086_1879091756,33.85,82,771
2025-11-27 15:04:37.717024,1494041345_6677895176,16.8,6,28
2025-11-27 15:04:37.945742,1494041345_4004297090,8.24,45,103
2025-11-27 15:04:38.132770,1494041351_1494041366,31.54,21,184
2025-11-27 15:04:38.347275,1494041352_1494041374,30.09,28,234
2025-11-27 15:04:38.511133,1494041366_1878932244,19.68,101,552
2025-11-27 15:04:38.734659,1494041366_6670444530,30.04,32,267
2025-11-27 15:04:38.951116,1494041374_1758633098,16.1,87,389
2025-11-27 15:04:39.230213,1495020912_1758631175,15.0,6,25
2025-11-27 15:04:39.447051,1495020912_6688503842,20.16,5,28
2025-11-27 15:04:39.640265,1495022225_634709500,20.7,4,23
2025-11-27 15:04:39.843150,1495023340_1314209691,17.45,111,538
2025-11-27 15:04:40.089434,1495025257_6648096525,37.2,3,31
2025-11-27 15:04:40.226770,1495025257_6650810650,20.1,24,134
2025-11-27 15:04:40.420324,1495030950_1495030951,17.67,11,54
2025-11-27 15:04:40.611558,1495030950_427847910,7.84,17,37
2025-11-27 15:04:40.779747,1495030951_317366886,14.58,181,733
2025-11-27 15:04:40.983663,1497544719_428673752,6.82,19,36
2025-11-27 15:04:41.253650,1497544719_1904353550,9.6,21,56
2025-11-27 15:04:41.459458,1497544736_5707161153,15.6,6,26
2025-11-27 15:04:41.686497,1497544736_5707161151,14.4,25,100
2025-11-27 15:04:41.885745,1497544738_5707161163,15.12,5,21
2025-11-27 15:04:42.084588,1497544749_5706891499,20.34,20,113
2025-11-27 15:04:42.267895,1497544764_9980229913,20.22,34,191
2025-11-27 15:04:42.520444,1497544764_5706896622,23.26,13,84
2025-11-27 15:04:42.720738,1497544796_7301485388,23.68,123,809
2025-11-27 15:04:42.989048,1497544796_5704011299,22.59,199,1249
2025-11-27 15:04:43.128059,1497544796_1497544764,26.96,41,307
2025-11-27 15:04:43.329547,1498038039_420457653,8.86,52,128
2025-11-27 15:04:43.572562,1498111685_10180671333,10.8,5,15
2025-11-27 15:04:43.826310,1498111685_5716649671,12.74,13,46
2025-11-27 15:04:44.077060,1613087620_444875130,9.36,5,13
2025-11-27 15:04:44.262709,1613087620_5716616005,10.46,21,61
2025-11-27 15:04:44.395273,1613087622_1613087620,19.15,135,718
2025-11-27 15:04:44.529614,1613087622_444874859,24.0,3,20
2025-11-27 15:04:44.659829,1613087628_1613087622,15.3,4,17
2025-11-27 15:04:44.807454,1613087628_1495022225,20.7,8,46
2025-11-27 15:04:45.029096,1691398148_1881927756,21.4,281,1670
2025-11-27 15:04:45.246300,1692627215_6631796343,23.8,41,271
2025-11-27 15:04:45.416430,1692627215_1919720738,23.76,5,33
2025-11-27 15:04:45.591060,1699561405_1849738362,5.79,23,37
2025-11-27 15:04:45.787814,1699561405_5716544649,31.05,770,6642
2025-11-27 15:04:46.022936,1748294231_1219243636,6.3,8,14
2025-11-27 15:04:46.206516,1748294231_10203920328,24.17,7,47
2025-11-27 15:04:46.398326,1748294250_1748294257,8.4,6,14
2025-11-27 15:04:46.596919,1748294250_10203920324,17.86,26,129
2025-11-27 15:04:46.733123,1748294257_1748294250,8.4,6,14
2025-11-27 15:04:46.971179,1748294257_1919751060,18.36,60,306
2025-11-27 15:04:47.164741,1748294274_5710673974,15.99,134,595
2025-11-27 15:04:47.386994,1748294274_10542328776,4.55,38,48
2025-11-27 15:04:47.571913,1758170763_12024836052,26.16,15,109
2025-11-27 15:04:47.775420,1758170772_6648096523,8.4,6,14
2025-11-27 15:04:48.037402,1758170772_1495022225,10.24,32,91
2025-11-27 15:04:48.228311,1758629824_5683792676,15.6,3,13
2025-11-27 15:04:48.434881,1758631175_1314209699,15.3,4,17
2025-11-27 15:04:48.637604,1758631175_1884769979,24.0,6,40
2025-11-27 15:04:48.905936,1758633098_1758633108,27.6,3,23
2025-11-27 15:04:49.069329,1758633098_81805393,15.24,356,1507
2025-11-27 15:04:49.205488,1758633108_6659134174,31.2,3,26
2025-11-27 15:04:49.424924,1758633108_1758633112,21.9,84,511
2025-11-27 15:04:49.686949,1758633112_6659134172,14.64,288,1171
2025-11-27 15:04:49.820605,1758633112_1758633108,26.89,34,254
2025-11-27 15:04:50.077881,1758651218_6610574244,18.18,20,101
2025-11-27 15:04:50.276532,1758651218_6606566485,22.01,88,538
2025-11-27 15:04:50.477720,1838584736_1312650079,14.7,12,49
2025-11-27 15:04:50.654277,1838584736_1879088105,26.18,11,80
2025-11-27 15:04:50.792806,1849738362_1699561405,3.25,41,37
2025-11-27 15:04:50.966735,1849738362_5898769297,39.54,56,615
2025-11-27 15:04:51.165627,1878921396_6659072489,9.0,2,5
2025-11-27 15:04:51.352653,1878921403_5686426699,28.27,61,479
2025-11-27 15:04:51.485687,1878921403_5686426699,28.27,61,479
2025-11-27 15:04:51.690171,1878921405_1878921403,15.9,24,106
2025-11-27 15:04:51.943756,1878932244_1494041366,10.0,9,25
2025-11-27 15:04:52.076362,1878932244_420460217,3.22,206,184
2025-11-27 15:04:52.257854,1879088105_1879091755,31.57,13,114
2025-11-27 15:04:52.454185,1879088106_1879088105,22.6,18,113
2025-11-27 15:04:52.610376,1879088106_1838584736,13.01,153,553
2025-11-27 15:04:52.799368,1879088107_1879088108,23.85,16,106
2025-11-27 15:04:52.929348,1879088107_1312650077,7.48,38,79
2025-11-27 15:04:53.105163,1879088108_13322115743,34.92,30,291
2025-11-27 15:04:53.348788,1879091753_1879091756,12.96,15,54
2025-11-27 15:04:53.475527,1879091753_1475295085,39.34,68,743
2025-11-27 15:04:53.666528,1879091755_5898769297,14.01,147,572
2025-11-27 15:04:53.791489,1879091755_1699561405,27.89,79,612
2025-11-27 15:04:53.966884,1879091756_1879091753,17.2,167,798
2025-11-27 15:04:54.201326,1879091756_1879088107,27.3,12,91
2025-11-27 15:04:54.457316,1881927756_2302166519,14.4,4,16
2025-11-27 15:04:54.689357,1881927756_12375164794,43.2,1,12
2025-11-27 15:04:54.869323,1881927757_1881928008,6.5,72,130
2025-11-27 15:04:55.035789,1881927757_1881927759,6.3,52,91
2025-11-27 15:04:55.251239,1881927757_1748294231,3.35,44,41
2025-11-27 15:04:55.387440,1881927759_6687964478,18.08,223,1120
2025-11-27 15:04:55.588698,1881928007_1881928008,24.8,9,62
2025-11-27 15:04:55.716591,1881928007_1221053112,3.89,37,40
2025-11-27 15:04:55.849909,1881928008_1881927757,6.37,13,23
2025-11-27 15:04:56.021030,1881928008_13327548968,20.16,125,700
2025-11-27 15:04:56.195444,1881928278_10203920329,0.0,0,6
2025-11-27 15:04:56.366583,1881928278_6672531385,25.5,12,85
2025-11-27 15:04:56.545331,1881928279_1881928280,6.6,72,132
2025-11-27 15:04:56.670077,1881928279_1220930858,3.87,40,43
2025-11-27 15:04:56.793124,1881928280_6672531385,43.2,1,12
2025-11-27 15:04:56.987872,1881949102_1881949103,19.2,12,64
2025-11-27 15:04:57.172029,1881949102_4539675829,20.86,73,423
2025-11-27 15:04:57.316622,1881949103_1881949102,26.85,70,522
2025-11-27 15:04:57.513187,1881949103_11768052436,29.3,29,236
2025-11-27 15:04:57.714305,1884747787_4538405005,15.12,5,21
2025-11-27 15:04:57.892680,1884747789_1884747787,13.76,17,65
